gml:id,gml:metaDataProperty,gml:description,gml:name,gml:boundedBy,gml:location,erl:identifier,erl:name,erl:status,erl:owner,erl:startDate,erl:endDate,erl:observationMethod,erl:positionalAccuracy,erl:source,erl:status_uri,erl:specification_uri,erl:shape
ga.erl.mineview.333296,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333296,Whim Creek,operating mine,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333296,POINT (117.83058339250002 -20.843730042448815)
ga.erl.mineview.333298,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333298,Mount Sholl,mineral deposit,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333298,POINT (116.8861429727 -20.91675889055272)
ga.erl.mineview.333299,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333299,Halls Reward,historic mine,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333299,POINT (144.9854956019 -18.91656852334926)
ga.erl.mineview.333300,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333300,O.K.,historic mine,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333300,POINT (144.2461003238 -16.60160420363333)
ga.erl.mineview.333301,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333301,Liontown,historic mine,,,,"State or NT agency supplied location, method unknown",500 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333301,POINT (146.0678 -20.409500011038723)
ga.erl.mineview.333302,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333302,Blinman,historic mine,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333302,POINT (138.67577918990003 -31.086060575067556)
ga.erl.mineview.333303,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333303,Canoona,historic mine,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333303,POINT (150.2585344034 -23.040912396222346)
ga.erl.mineview.333304,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333304,Goodall,historic mine,,,,"satellite image, Google",999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333304,POINT (131.3731 -13.211300003254506)
ga.erl.mineview.333306,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333306,Myuna,operating mine,Banpu Public Company Limited,,,method unknown,2000 metres,http://www.banpu.com/en_index.php,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333306,POINT (151.56873834810003 -33.06011106189522)
ga.erl.mineview.333307,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333307,Oaklands,mineral deposit,Yancoal Australia Limited,,,method unknown,2000 metres,http://www.yancoal.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333307,POINT (146.2178545015 -35.478704052527306)
ga.erl.mineview.333308,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333308,Jellinbah East,operating mine,"Anglo American Plc, Marubeni Corporation, Sojitz Corporation, Zashvin Pty. Ltd.",,,"State or NT agency supplied location, method unknown",100 metres,"http://australia.angloamerican.com/, http://www.marubeni.com, http://www.sojitz.com/en",http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333308,POINT (148.950644 -23.406874015493703)
ga.erl.mineview.333309,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333309,Kevins Corner,mineral deposit,GVK Power & Infrastructure,,,method unknown,2000 metres,http://www.gvk.com/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333309,POINT (146.4441896729 -23.052835388640858)
ga.erl.mineview.333310,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333310,Paradise North,mineral deposit,Legend International Holdings Inc,,,method unknown,2000 metres,http://www.lgdi.net,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333310,POINT (139.0860140376 -19.597052844434497)
ga.erl.mineview.333311,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333311,Wonarah,mineral deposit,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333311,POINT (136.3300085906 -19.89708662463645)
ga.erl.mineview.333312,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333312,Copper Blonde,historic mine,,,,method unknown,2000 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333312,POINT (140.0680180544 -20.473033258327145)
ga.erl.mineview.333313,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333313,Even Steven,historic mine,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333313,POINT (140.0141979816 -20.90055967812964)
ga.erl.mineview.333314,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333314,Springs,historic mine,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333314,POINT (140.0061969058 -20.87855977959833)
ga.erl.mineview.333315,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333315,Western,historic mine,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333315,POINT (139.9061887287 -20.17456404751431)
ga.erl.mineview.333318,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333318,Nolans,closed,Resolute Mining Limited,,,method unknown,2000 metres,http://www.rml.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/closed,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333318,POINT (146.8829782212 -20.096941725608026)
ga.erl.mineview.333319,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333319,Bulletin - Henry 5 - Woodley,mineral deposit,Blackham Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.blackhamresources.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333319,POINT (120.24670000000003 -26.615000020710156)
ga.erl.mineview.333320,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333320,Wallaby,operating mine,Gold Fields Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.goldfields.co.za/,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333320,POINT (122.3055 -28.851800024433587)
ga.erl.mineview.333321,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333321,Hawkwood,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333321,POINT (150.852836855 -25.788082611939796)
ga.erl.mineview.333322,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333322,Kennedy Gap,historic mine,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333322,POINT (120.33635861829998 -20.588464286188547)
ga.erl.mineview.333323,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333323,Iguana (South Ida Shear),historic mine,Ora Banda Mining Ltd,,,"State or NT agency supplied location, method unknown",500 metres,http://www.orabandamining.com.au,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333323,POINT (120.66189999999999 -30.49500002712241)
ga.erl.mineview.333324,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333324,Nicholas Downs,care and maintenance,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/care-and-maintenance,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333324,POINT (120.89428137580002 -22.773894207109667)
ga.erl.mineview.333325,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333325,Bluff,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333325,POINT (137.7847882073 -17.181329538368644)
ga.erl.mineview.333326,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333326,Mount Madden,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333326,POINT (145.434405788 -16.995486761061624)
ga.erl.mineview.333327,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333327,Kangaroo Bore,mineral deposit,Legacy Iron Ore Limited,,,method unknown,100 metres,http://www.legacyiron.com.au/projects/australian-projects/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333327,POINT (122.4647210945 -29.43606562669781)
ga.erl.mineview.333328,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333328,East Scotia,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333328,POINT (121.45703500780003 -31.182255370919943)
ga.erl.mineview.333329,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333329,York and Durham,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333329,POINT (144.2513259998 -36.72881444783758)
ga.erl.mineview.333330,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333330,Iron Duke - Norseman,mineral deposit,,,,"State or NT agency supplied location, method unknown",500 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333330,POINT (121.80560000000001 -32.26480002990273)
ga.erl.mineview.333331,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333331,Tate River,historic mine,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333331,POINT (144.33100815650002 -17.451592298975292)
ga.erl.mineview.333332,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333332,Canyon,closed,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/closed,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333332,POINT (150.2764397536 -33.53611709768832)
ga.erl.mineview.333334,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333334,Charbon,care and maintenance,Banpu Public Company Limited,,,method unknown,500 metres,http://www.banpu.com/en_index.php,http://resource.geosciml.org/classifier/cgi/mine-status/care-and-maintenance,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333334,POINT (149.9776637573 -32.896406078853154)
ga.erl.mineview.333335,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333335,Success - Mt McClure,historic mine,,,,"State or NT agency supplied location, method unknown",999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333335,POINT (120.94090000000001 -27.514800022209293)
ga.erl.mineview.333336,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333336,Hurricane,mineral deposit,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333336,POINT (144.6048904747 -16.57680045870684)
ga.erl.mineview.333337,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333337,French Kiss,mineral deposit,Silver Lake Resources Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.silverlakeresources.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333337,POINT (122.5764 -31.21310002826873)
ga.erl.mineview.333338,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333338,East Lithgow,mineral deposit,Vale S.A.,,,method unknown,500 metres,http://www.vale.com/australia/EN/Pages/default.aspx,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333338,POINT (150.1600027002 -33.45685310637406)
ga.erl.mineview.333339,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333339,Donnellys Comstock,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333339,POINT (138.034634678 -31.345615886777765)
ga.erl.mineview.333340,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333340,Wonder North,historic mine,"Bligh Resources Limited, SR Mining Pty Ltd",,,"State or NT agency supplied location, method unknown",500 metres,http://www.blighresources.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333340,POINT (121.18230000000001 -28.341400023586427)
ga.erl.mineview.333341,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333341,Ellendale 4,mineral deposit,,,,method unknown,50 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333341,POINT (124.9232187706 -17.667081891924486)
ga.erl.mineview.333342,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333342,Emull,mineral deposit,,,,"State or NT agency supplied location, method unknown",100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333342,POINT (127.30869999999999 -18.43660000844773)
ga.erl.mineview.333343,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333343,Belvedere,mineral deposit,Vale S.A.,,,method unknown,999 metres,http://www.vale.com/australia/EN/Pages/default.aspx,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333343,POINT (149.9371461092 -24.484215254509827)
ga.erl.mineview.333344,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333344,John Galt,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333344,POINT (128.2012906197 -17.34580354915447)
ga.erl.mineview.333345,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333345,Triple Crown,mineral deposit,,,,"State or NT agency supplied location, method unknown",999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333345,POINT (145.0752 -17.660100007516352)
ga.erl.mineview.333346,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333346,Navajo Chief,historic mine,Zijin Mining Group Company Ltd,,,"company supplied location, method unknown",500 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333346,POINT (121.39190000000002 -30.82560002765286)
ga.erl.mineview.333347,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333347,Podosky's Prospect,mineral deposit,,,,method unknown,10 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333347,POINT (146.7848746031 -20.095358333005855)
ga.erl.mineview.333348,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333348,Hazelwood-Yinnar,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333348,POINT (146.3400055134 -38.3569651827458)
ga.erl.mineview.333349,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333349,Woolgni,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333349,POINT (131.9634449229 -14.081029930539051)
ga.erl.mineview.333350,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333350,New Dam North,mineral deposit,,,,"State or NT agency supplied location, method unknown",999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333350,POINT (141.17906 -33.031760031053444)
ga.erl.mineview.333351,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333351,Ownaview,mineral deposit,Cockatoo Coal Limited,,,method unknown,999 metres,http://www.cockatoocoal.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333351,POINT (151.2510349016 -27.042496305421878)
ga.erl.mineview.333352,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333352,Abednego,mineral deposit,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333352,POINT (121.85471641400001 -28.7817223144175)
ga.erl.mineview.333353,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333353,Youangarra,mineral deposit,,,,method unknown,100 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333353,POINT (118.8067601651 -28.83537188550638)
ga.erl.mineview.333354,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333354,Gallipoli,mineral deposit,Cristal Mining,,,"State or NT agency supplied location, method unknown",100 metres,http://www.cristal.com,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333354,POINT (142.335287 -33.47113403169467)
ga.erl.mineview.333355,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333355,Station Creek,historic mine,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333355,POINT (145.22467441249998 -16.60769405463984)
ga.erl.mineview.333356,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333356,Greenpatch Magnetite,mineral deposit,Centrex Metals Limited,,,method unknown,999 metres,http://centrexmetals.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333356,POINT (135.7713832477 -34.59572838806827)
ga.erl.mineview.333357,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333357,Laverton - Mount Lucky,mineral deposit,,,,"State or NT agency supplied location, method unknown",10 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333357,POINT (122.51500100000001 -28.779007024312996)
ga.erl.mineview.333359,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333359,Hermes,operating mine,,,,"company supplied location, method unknown",500 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333359,POINT (118.9098 -25.5845000190043)
ga.erl.mineview.333360,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333360,Tower,closed,,,,method unknown,500 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/closed,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333360,POINT (150.7199895678 -34.1668506341803)
ga.erl.mineview.333361,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333361,Manchester Reef,mineral deposit,,,,method unknown,500 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333361,POINT (142.7693472483 -37.04853829119716)
ga.erl.mineview.333362,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333362,Costerfield Mh Zone,historic mine,Mandalay Resources Corporation,,,"satellite image, Google",999 metres,http://www.mandalayresources.com/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333362,POINT (144.801 -36.893600036124326)
ga.erl.mineview.333363,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333363,Neubeck,mineral deposit,Banpu Public Company Limited,,,method unknown,999 metres,http://www.banpu.com/en_index.php,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333363,POINT (150.0500031244 -33.34685402491471)
ga.erl.mineview.333364,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333364,Crusader - Wallbrook,mineral deposit,Saracen Mineral Holdings Limited,,,"State or NT agency supplied location, method unknown",500 metres,http://www.saracen.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333364,POINT (122.3103 -29.858100026089264)
ga.erl.mineview.333365,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333365,Lounge Lizard,historic mine,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333365,POINT (119.68757600000002 -32.43013003015394)
ga.erl.mineview.333366,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333366,East Leadingham,mineral deposit,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333366,POINT (145.196383 -16.995711006761866)
ga.erl.mineview.333367,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333367,McAuliffe Well,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333367,POINT (121.92342699999998 -29.494707025494165)
ga.erl.mineview.333368,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333368,Oldfield Inlet,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333368,POINT (120.790619 -33.8728940322685)
ga.erl.mineview.333369,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333369,Ludlow,historic mine,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333369,POINT (115.48898300000002 -33.58961503186518)
ga.erl.mineview.333370,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333370,Norris,historic mine,,,,method unknown,250 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333370,POINT (137.8531926132 -17.67362566033212)
ga.erl.mineview.333371,,,,,,http://pid.geoscience.gov.au/id/feature/ga/erl/mineview/333371,Wotonga,mineral deposit,,,,method unknown,999 metres,,http://resource.geosciml.org/classifier/cgi/mine-status/retention,http://pid.geoscience.gov.au/id/feature/ga/er/mine/333371,POINT (148.1982710423 -22.031494091082536)
